white;black;white_result
Rysanek Jakub;Juhasz Tomas;1.0
Havelka Ondrej;Nekula Stepan;1.0
Matus Filip;Prokop Jiri;1.0
Rucek Peter;Hromada Denis;1.0
Siska Kristof;Kuzel Marek;1.0
Durica Adam;Andrukhiv Dmytro;1.0
Krena Bohuslav;Hornik Matej;1.0
Batora Matej;Do Hung;1.0
Benes David;Tenora Marek;1.0
Trombik Daniel;Radsetoulal Vlastimil;1.0
Kuna Martin;Hanus Michal;1.0
Roman Filip;Vojtechovsky Michal;1.0
Slavik Samuel;Jezek Jakub;0.0
Valent Tomas;Vano Pavol Toth;1.0
Dornak Jakub;Yaroshenko Oleksandr;1.0
Uhricek Daniel;Mikus Andrej;0.0

Rysanek Jakub;Dornak Jakub;1.0
Havelka Ondrej;Matus Filip;0.0
Rucek Peter;Roman Filip;1.0
Siska Kristof;Trombik Daniel;1.0
Durica Adam;Benes David;1.0
Krena Bohuslav;Valent Tomas;1.0
Batora Matej;Jezek Jakub;1.0
Juhasz Tomas;Yaroshenko Oleksandr;1.0
Do Hung;Slavik Samuel;0.5
Kuna Martin;Mikus Andrej;0.0
Hornik Matej;Vano Pavol Toth;1.0
Kuzel Marek;Radsetoulal Vlastimil;0.0
Hromada Denis;Vojtechovsky Michal;0.0
Prokop Jiri;Nekula Stepan;1.0
Hanus Michal;Uhricek Daniel;0.5
Andrukhiv Dmytro;Tenora Marek;1.0

Rysanek Jakub;Durica Adam;0.5
Havelka Ondrej;Dornak Jakub;1.0
Matus Filip;Krena Bohuslav;1.0
Rucek Peter;Mikus Andrej;1.0
Siska Kristof;Batora Matej;1.0
Benes David;Vojtechovsky Michal;1.0
Juhasz Tomas;Roman Filip;1.0
Do Hung;Hanus Michal;1.0
Trombik Daniel;Valent Tomas;1.0
Kuna Martin;Andrukhiv Dmytro;1.0
Hornik Matej;Jezek Jakub;1.0
Kuzel Marek;Yaroshenko Oleksandr;1.0
Hromada Denis;Tenora Marek;1.0
Slavik Samuel;Uhricek Daniel;1.0
Radsetoulal Vlastimil;Prokop Jiri;1.0
Vano Pavol Toth;Nekula Stepan;1.0

Rysanek Jakub;Siska Kristof;1.0
Havelka Ondrej;Durica Adam;1.0
Matus Filip;Rucek Peter;0.0
Krena Bohuslav;Mikus Andrej;1.0
Batora Matej;Radsetoulal Vlastimil;1.0
Benes David;Juhasz Tomas;0.0
Do Hung;Trombik Daniel;1.0
Kuna Martin;Hornik Matej;1.0
Roman Filip;Prokop Jiri;0.0
Kuzel Marek;Dornak Jakub;1.0
Hromada Denis;Jezek Jakub;0.0
Slavik Samuel;Valent Tomas;0.0
Vojtechovsky Michal;Andrukhiv Dmytro;1.0
Vano Pavol Toth;Uhricek Daniel;0.0
Hanus Michal;Nekula Stepan;1.0
Yaroshenko Oleksandr;Tenora Marek;0.5

Rysanek Jakub;Rucek Peter;0.5
Havelka Ondrej;Siska Kristof;1.0
Matus Filip;Durica Adam;1.0
Krena Bohuslav;Kuna Martin;0.5
Batora Matej;Juhasz Tomas;1.0
Benes David;Prokop Jiri;1.0
Do Hung;Jezek Jakub;1.0
Trombik Daniel;Mikus Andrej;1.0
Hornik Matej;Radsetoulal Vlastimil;1.0
Roman Filip;Andrukhiv Dmytro;1.0
Kuzel Marek;Valent Tomas;0.0
Hromada Denis;Yaroshenko Oleksandr;1.0
Slavik Samuel;Hanus Michal;1.0
Vojtechovsky Michal;Uhricek Daniel;1.0
Dornak Jakub;Vano Pavol Toth;0.0
Nekula Stepan;Tenora Marek;1.0

Rysanek Jakub;Matus Filip;1.0
Havelka Ondrej;Kuna Martin;1.0
Rucek Peter;Batora Matej;0.5
Siska Kristof;Hornik Matej;1.0
Durica Adam;Mikus Andrej;1.0
Krena Bohuslav;Do Hung;1.0
Benes David;Valent Tomas;1.0
Juhasz Tomas;Slavik Samuel;0.0
Trombik Daniel;Vojtechovsky Michal;1.0
Roman Filip;Vano Pavol Toth;1.0
Kuzel Marek;Hanus Michal;1.0
Hromada Denis;Radsetoulal Vlastimil;1.0
Prokop Jiri;Jezek Jakub;1.0
Dornak Jakub;Tenora Marek;1.0
Uhricek Daniel;Andrukhiv Dmytro;1.0
Nekula Stepan;Yaroshenko Oleksandr;1.0

Rysanek Jakub;Krena Bohuslav;1.0
Havelka Ondrej;Rucek Peter;1.0
Matus Filip;Batora Matej;1.0
Siska Kristof;Benes David;0.5
Durica Adam;Trombik Daniel;1.0
Juhasz Tomas;Valent Tomas;1.0
Do Hung;Kuna Martin;0.5
Hornik Matej;Uhricek Daniel;1.0
Roman Filip;Slavik Samuel;1.0
Kuzel Marek;Vojtechovsky Michal;1.0
Hromada Denis;Prokop Jiri;1.0
Radsetoulal Vlastimil;Nekula Stepan;1.0
Dornak Jakub;Jezek Jakub;1.0
Vano Pavol Toth;Mikus Andrej;1.0
Hanus Michal;Tenora Marek;1.0
Yaroshenko Oleksandr;Andrukhiv Dmytro;1.0

Batora Matej;Bobor Dominik;1.0
Lintner Igor;Holop Patrik;1.0
Husek Martin;Gvozdjak Peter;1.0
Sramek Vojtech;Buch Marek;1.0
Straka Vojtech;Just Vojtech;1.0
Hornik Matej;Matuska Miloslav;1.0
Bango Dominik;Kuznik Jakub;1.0
Jancovicova Petra;Malik Viktor;1.0
Shelest Oleksii;Majer Jakub;1.0
Havelka Ondrej;Badura Richard;1.0
Rucek Peter;Kravar Peter;1.0
Bridl Dominik;Vojtechovsky Michal;1.0
Zilinek Tomas;Mateas Branislav;1.0
Ergang Martin;Varsanyi Adam;1.0
Pelanek Daniel;Zavadil Tomas;1.0
Radsetoulal Vlastimil;Stetina Jakub;1.0

Batora Matej;Hornik Matej;1.0
Lintner Igor;Ergang Martin;1.0
Husek Martin;Radsetoulal Vlastimil;1.0
Sramek Vojtech;Jancovicova Petra;1.0
Straka Vojtech;Bridl Dominik;1.0
Bango Dominik;Zilinek Tomas;1.0
Shelest Oleksii;Havelka Ondrej;1.0
Rucek Peter;Pelanek Daniel;1.0
Gvozdjak Peter;Stetina Jakub;1.0
Vojtechovsky Michal;Just Vojtech;1.0
Badura Richard;Majer Jakub;1.0
Buch Marek;Malik Viktor;1.0
Mateas Branislav;Kuznik Jakub;1.0
Kravar Peter;Zavadil Tomas;1.0
Varsanyi Adam;Holop Patrik;0.0
Bobor Dominik;Matuska Miloslav;1.0

Batora Matej;Straka Vojtech;0.0
Lintner Igor;Shelest Oleksii;0.5
Husek Martin;Rucek Peter;1.0
Sramek Vojtech;Bango Dominik;1.0
Hornik Matej;Holop Patrik;1.0
Jancovicova Petra;Bobor Dominik;1.0
Havelka Ondrej;Buch Marek;1.0
Gvozdjak Peter;Ergang Martin;1.0
Bridl Dominik;Pelanek Daniel;0.0
Zilinek Tomas;Badura Richard;1.0
Vojtechovsky Michal;Radsetoulal Vlastimil;1.0
Mateas Branislav;Kravar Peter;1.0
Majer Jakub;Stetina Jakub;1.0
Varsanyi Adam;Hromada Denis;1.0
Prokop Jiri;Kuznik Jakub;0.5
Zavadil Tomas;Malik Viktor;1.0
Matuska Miloslav;Just Vojtech;1.0

Batora Matej;Shelest Oleksii;1.0
Lintner Igor;Straka Vojtech;1.0
Husek Martin;Sramek Vojtech;0.5
Hornik Matej;Vojtechovsky Michal;1.0
Bango Dominik;Pelanek Daniel;1.0
Jancovicova Petra;Zilinek Tomas;0.5
Havelka Ondrej;Mateas Branislav;1.0
Rucek Peter;Gvozdjak Peter;1.0
Bridl Dominik;Matuska Miloslav;1.0
Ergang Martin;Kravar Peter;1.0
Badura Richard;Varsanyi Adam;0.0
Buch Marek;Zavadil Tomas;0.0
Majer Jakub;Bobor Dominik;1.0
Hromada Denis;Kuznik Jakub;1.0
Prokop Jiri;Just Vojtech;1.0
Radsetoulal Vlastimil;Holop Patrik;1.0
Stetina Jakub;Malik Viktor;1.0

Batora Matej;Rucek Peter;0.0
Lintner Igor;Sramek Vojtech;1.0
Husek Martin;Havelka Ondrej;0.0
Straka Vojtech;Bango Dominik;1.0
Hornik Matej;Jancovicova Petra;1.0
Shelest Oleksii;Zilinek Tomas;1.0
Gvozdjak Peter;Radsetoulal Vlastimil;1.0
Bridl Dominik;Majer Jakub;0.5
Ergang Martin;Pelanek Daniel;0.0
Vojtechovsky Michal;Mateas Branislav;0.0
Badura Richard;Prokop Jiri;1.0
Buch Marek;Matuska Miloslav;1.0
Kravar Peter;Holop Patrik;1.0
Varsanyi Adam;Zavadil Tomas;1.0
Hromada Denis;Bobor Dominik;1.0
Kuznik Jakub;Stetina Jakub;1.0
Just Vojtech;Malik Viktor;0.0

Batora Matej;Gvozdjak Peter;1.0
Lintner Igor;Rucek Peter;0.0
Husek Martin;Shelest Oleksii;1.0
Sramek Vojtech;Havelka Ondrej;0.5
Straka Vojtech;Hornik Matej;1.0
Bango Dominik;Varsanyi Adam;1.0
Jancovicova Petra;Majer Jakub;1.0
Bridl Dominik;Zilinek Tomas;1.0
Ergang Martin;Vojtechovsky Michal;1.0
Badura Richard;Kravar Peter;0.5
Buch Marek;Radsetoulal Vlastimil;0.0
Mateas Branislav;Pelanek Daniel;1.0
Hromada Denis;Zavadil Tomas;1.0
Benovic Martin;Just Vojtech;1.0
Prokop Jiri;Bobor Dominik;0.0
Holop Patrik;Kuznik Jakub;0.0
Matuska Miloslav;Stetina Jakub;1.0
Saskova Renata;Malik Viktor;1.0

Batora Matej;Husek Martin;1.0
Lintner Igor;Havelka Ondrej;1.0
Sramek Vojtech;Mateas Branislav;1.0
Straka Vojtech;Rucek Peter;1.0
Hornik Matej;Bango Dominik;1.0
Jancovicova Petra;Shelest Oleksii;0.5
Gvozdjak Peter;Pelanek Daniel;1.0
Bridl Dominik;Radsetoulal Vlastimil;1.0
Zilinek Tomas;Majer Jakub;0.5
Ergang Martin;Hromada Denis;1.0
Vojtechovsky Michal;Zavadil Tomas;1.0
Badura Richard;Kuznik Jakub;1.0
Buch Marek;Bobor Dominik;1.0
Kravar Peter;Varsanyi Adam;1.0
Benovic Martin;Malik Viktor;1.0
Prokop Jiri;Matuska Miloslav;1.0
Holop Patrik;Stetina Jakub;1.0
Saskova Renata;Just Vojtech;0.0

Batora Matej;Lintner Igor;1.0
Husek Martin;Bridl Dominik;1.0
Sramek Vojtech;Straka Vojtech;1.0
Hornik Matej;Rucek Peter;1.0
Bango Dominik;Havelka Ondrej;1.0
Jancovicova Petra;Mateas Branislav;1.0
Shelest Oleksii;Ergang Martin;1.0
Gvozdjak Peter;Badura Richard;1.0
Zilinek Tomas;Kuznik Jakub;1.0
Vojtechovsky Michal;Majer Jakub;1.0
Buch Marek;Kravar Peter;0.5
Pelanek Daniel;Hromada Denis;0.0
Varsanyi Adam;Radsetoulal Vlastimil;1.0
Benovic Martin;Saskova Renata;1.0
Prokop Jiri;Zavadil Tomas;1.0
Bobor Dominik;Holop Patrik;1.0
Matuska Miloslav;Malik Viktor;1.0
Just Vojtech;Stetina Jakub;0.5

Batora Matej;Sramek Vojtech;1.0
Lintner Igor;Hornik Matej;1.0
Husek Martin;Straka Vojtech;1.0
